insee;gid;lon;lat
69386;5668;4,857447;45,765752
69266;5669;4,8834745;45,7591836
69029;5670;4,903739;45,7219285
69386;5671;4,8578722;45,76714
69259;5672;4,9047306;45,7178804
69259;5673;4,8922887;45,7174882
69256;5674;4,9163532;45,7853818
69383;5675;4,8448618;45,7569887
69256;5676;4,9223984;45,7804044
69259;5677;4,9003321;45,7166506
69389;5678;4,8037344;45,7768224
69259;5679;4,8878002;45,7159054
69388;5680;4,8529573;45,7258396
69382;5681;4,8306626;45,7572024
69386;5682;4,8548246;45,7812888
69386;5683;4,8530086;45,7755729
69081;5684;4,7903704;45,7824256
69386;5685;4,8546416;45,7830635
69266;5686;4,870165;45,782647
69085;5687;4,843934;45,8579793
69152;5688;4,8382670999999995;45,6980495
69386;5689;4,8420531;45,7686409
69383;5690;4,8617667;45,7602227
69034;5691;4,8523571;45,8001688
69383;5692;4,8449761;45,7570914
69383;5693;4,8451609;45,7571051
69382;5694;4,8357797;45,7643538
69386;5695;4,8498016;45,7830784
69382;5696;4,8324781;45,7569577
69382;5697;4,8357737;45,7642954
69384;5698;4,8399114;45,7766408
69383;5699;4,8764706;45,7482269
69266;5700;4,8635561;45,7826781
69256;5701;4,9268628;45,7568088
69386;5702;4,8587279;45,767148
69386;5703;4,8575262;45,7850008
69385;5704;4,8283695;45,7666093
69387;5705;4,8351337;45,7380932
69382;5706;4,8318985;45,7572447
69271;5707;4,9567834;45,7242625
69382;5708;4,8318439;45,759902
69385;5709;4,8290509;45,7660447
69387;5710;4,8315388;45,7311667
69384;5711;4,830808;45,7817575
69044;5712;4,741713;45,788144
69382;5713;4,8281537;45,7511278
69389;5714;4,8028161;45,7857361
69382;5715;4,8325507;45,7569376
69384;5716;4,8128347;45,7748715
69388;5717;4,8795266;45,7309311
69386;5718;4,8548086999999995;45,7847234
69259;5719;4,9009913;45,7162073
69383;5720;4,8763452;45,7482499
69381;5721;4,8357509;45,7718561
69385;5722;4,8263034;45,7582326
69029;5723;4,9001085;45,721963099999996
69266;5724;4,8633908;45,782641
69259;5725;4,9061428;45,7184885
69383;5726;4,8848149;45,7435742
69385;5727;4,8202203;45,7667289
69383;5728;4,8616976;45,7602264
69385;5729;4,8014836;45,7561273
69383;5730;4,8406473;45,7616445
69387;5731;4,8221867;45,7344338
69384;5732;4,812342;45,7756959
69199;5733;4,8590278;45,7048013
69384;5734;4,8122762;45,7757931
69276;5735;4,8537154000000005;45,6649501
69256;5736;4,916461;45,776309
69259;5737;4,9006054;45,7138952
69389;5738;4,8194922;45,7664068
69382;5739;4,8304247;45,757739
69034;5740;4,8488991;45,7951254
69266;5741;4,8638367;45,7819987
69256;5742;4,9236055;45,7778852
69386;5743;4,8492282;45,7802052
69266;5744;4,8737197;45,7823866
69168;5745;4,8333113999999995;45,8395331
69383;5746;4,8838815;45,744498899999996
69259;5747;4,8982832;45,7203027
69389;5748;4,8028855;45,7858084
69256;5749;4,9311774;45,7565952
69386;5750;4,8496763;45,7823586
69385;5751;4,8221647;45,7522502
69034;5752;4,8488936;45,7946379
69266;5753;4,8739738;45,7823267
69382;5754;4,8318262;45,7572639
69385;5755;4,8234654;45,7673972
69385;5756;4,7959282;45,7631995
