ligne;code_trace;code_ligne;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;date_debut;date_fin;pmr;code_tri_ligne;nom_version;last_update;gid
N80;N80-2;N80;Grand Parc le Morlet - Vaulx-en-Velin La Soie;Retour;30002;31760;Grand Parc le Morlet;Vaulx-en-Velin La Soie;BUS;20290621;;False;N 80;18 septembre 2024;2024-09-18 13:33:38+02:00;774
N81;N81-1;N81;Gare de Venissieux - Grand Parc Fontanil;Aller;20487;34586;Gare de Vénissieux;Grand Parc Le Fontanil;BUS;20220207;;False;N 81;18 septembre 2024;2024-09-18 13:33:38+02:00;799
N84;N84-1;N84;Rillieux - Les Alagniers - Grand Parc les Sablettes;Aller;33420;34587;Rillieux - Les Alagniers;Grand Parc les Sablettes;BUS;20290621;;False;N 84;18 septembre 2024;2024-09-18 13:33:38+02:00;777
C21;C21-2;C21A;Gorge de Loup - Perrache;Retour;10513;30977;Gorge de Loup;Perrache;BUS;20180101;;True;C 21;18 septembre 2024;2024-09-18 13:33:38+02:00;396
N84;N84-2;N84;Grand Parc les Sablettes - Rillieux - Les Alagniers;Retour;34587;33420;Grand Parc les Sablettes;Rillieux - Les Alagniers;BUS;20290621;;False;N 84;18 septembre 2024;2024-09-18 13:33:38+02:00;778
N100;N100-1;N100;Vaulx-en-Velin La Soie - Eurexpo Entree Princ.;Aller;31760;10419;Vaulx-en-Velin La Soie;Eurexpo Entrée Princ.;BUS;20220101;;True;N100;18 septembre 2024;2024-09-18 13:33:38+02:00;779
PL3;PL3-1;PL3A;Hôtel de Ville-L. Pradel - Campus Lyon Ouest;Aller;10568;20184;Hôtel de Ville L. Pradel;Pontet Crases;BUS;20180101;;True;P L3;18 septembre 2024;2024-09-18 13:33:38+02:00;687
R2;R2-5;R2A;Chantemerle - Neuville l'echo;Aller;10192;34603;Chantemerle;Neuville l'écho;BUS;20220301;;True;R  2;18 septembre 2024;2024-09-18 13:33:38+02:00;803
PL1;PL1-3;PL1A;Terreaux La Feuillee - INSA - Einstein;Aller;34306;31028;Terreaux La Feuillée;INSA - Einstein;BUS;20211009;;True;P L1;18 septembre 2024;2024-09-18 13:33:38+02:00;781
S2;S2-1;S2A;La Tour-de-Salvagny Mairie - La Tour-de-Salvagny Mairie;Aller;30157;30157;Tour de Salvagny Mairie;Tour de Salvagny Mairie;BUS;20180101;;True;S  2;18 septembre 2024;2024-09-18 13:33:38+02:00;627
C15E;C15E-1;C15E;Mermoz - Pinel - Parilly Universite Hippodrome;Aller;20091;33640;Mermoz - Pinel;Parilly Univ. Hippodrome;BUS;20190909;;True;C15E;18 septembre 2024;2024-09-18 13:33:38+02:00;707
C15E;C15E-2;C15E;Parilly Universite Hippodrome - Mermoz - Pinel;Retour;33640;20091;Parilly Univ. Hippodrome;Mermoz - Pinel;BUS;20190909;;True;C15E;18 septembre 2024;2024-09-18 13:33:38+02:00;708
