nom;indiccanop;gid
Place Charles Hernu;0,00;540
Place Charles Hernu;0,52;541
Place Charles Hernu;0,00;542
Place des Passementiers;0,45;543
Square Roger Palanche et Rent Vidal;0,00;544
Jardin d'Inkermann;0,96;545
Square General Marcel Descour;0,32;546
Jardin des Charmettes;0,73;547
Square René Pellet;0,67;548
Esplanade Sakharov;0,74;549
Square des Ancients Combattants d'Afrique du Nord;0,61;550
Parc Jacques Prévert;0,59;551
Place Docteur Lazare Goujon;0,16;552
Square Henry Bertrand;0,84;553
Place Pierre Mendès France;0,04;554
Square Georges Lévy;0,73;555
Square Plaine Robinson;0,64;556
Square Dreieich;0,77;557
Jardin des berges Renata Tebaldi;0,16;558
Jardin des Berges Clara Campoamor;0,47;559
Square Félix Jacquier;0,78;560
Place Zoé Roche;0,66;561
Place d'Helvétie;0,91;562
;0,15;897
Jardin des Berges Marlène Dittrich;0,81;563
Jardin des Berges Dame Ellen Mac Arthur;0,88;564
Parc du Brétillod;0,68;565
Jardin des Poëtes;0,90;566
Parc de la Cité Internationale;0,45;567
Parc de la Cité Internationale;0,29;568
Parc de la Cité internationale;0,76;569
Place Jean Chorel;0,50;570
Place Rivière;0,00;571
Promenade du Sabot de Vénus;0,40;572
Square Edouard Michelet;0,80;573
Square Gendron;0,79;574
Esplanade Geneviève Anthonioz De Gaulle;0,67;575
Jardin du Temps des Cerises;0,80;576
Square Alice Vansteenderghe;0,82;577
Place de Croix-Luizet;0,85;578
Place des Buers;0,00;579
Place Paul Strauss;0,95;580
Place des Retrouvailles;0,96;581
Square de la France Libre;0,59;582
Square Gérard Maire;0,51;583
Place des Allobroges;0,00;584
Place Guy Moquet;0,00;585
Rue des Tilleuls;0,70;586
Place François Mauriac;0,11;587
;0,81;1000
Promenade Lénine;0,78;588
Place Noël Carmellino;0,08;589
Place Roger Laurent;0,71;590
Place Charles de Gaulle;0,16;591
Place de la Paix;0,00;592
Square de Nurtingen sur Neckar;0,78;593
Square de Nurtingen sur Neckar;0,59;594
Place Jean Moulin;0,12;595
Place François Millou;0,00;596
Place Xavier Ricard;0,18;597
Place Saint Luc;0,16;598
Place Jacques Prévert;0,11;599
Place Henri Cochet;0,03;600
Square du Professeur Galtier;0,07;601
Square de Barcelone;0,00;602
Square de Montreal;0,20;603
Place de l'Exposition Internationale;0,03;604
Square Debourg;0,16;605
Voie Verte Léopold Sédar Senghor;0,00;606
Voie Verte Fontenay;0,05;607
Voie Verte Chappet;0,63;608
Esplanade François Mitterand;0,00;609
Place de la Capitainerie;0,00;610
Rive de Saône Quai Rambaud;0,00;611
Berges du Rhône Leclerc;0,36;648
Rives de Saône Quai Maréchal Joffre;0,66;649
Rive de Saône Quai Rambaud;0,12;612
Square Casimir Périer;0,00;613
Place Chevalier Saint George;0,00;614
Place Abbé Larue;0,52;615
Place Saint Irénée;0,08;616
Voie Verte Parcours de Santé;0,99;617
Place de La Libération;0,27;618
Place du Marché;0,20;619
