ligne;code_trace;code_ligne;type_trace;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;date_debut;date_fin;code_type_ligne;nom_type_ligne;pmr;code_tri_ligne;nom_version;last_update;last_update_fme;gid
47;47-1;47A;NOM;Meyzieu ZI –Aéroport Saint Exupéry – Maréchal Juin;Aller;31620;34355;Meyzieu Z.i.;Maréchal Juin;BUS;20190209;;REG;Régulière;True;47;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.644622+02:00;725
48;48-2;48B;NOM;Aerop. St Ex. - Gare Routiere - Bornicat;Retour;34323;34321;St Ex. - Gare Routière;Bornicat;BUS;20190209;;REG;Régulière;True;48;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.646546+02:00;728
49;49-1;49A;NOM;Perrache - Ste Foy Chatelain;Aller;30977;11363;Perrache;Sainte-Foy Châtelain;BUS;20180101;;REG;Régulière;True;49;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.647146+02:00;507
49;49-2;49A;NOM;Ste Foy Chatelain - Perrache;Retour;11363;30977;Sainte-Foy Châtelain;Perrache;BUS;20180101;;REG;Régulière;True;49;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.647708+02:00;508
1E;1E-1;1EX;NOM;Colombier Saugnieu Les Salines - Grange Blanche;Aller;34351;10524;Colombier-Saugn. Salines;Grange Blanche;BUS;20180101;;REG;Régulière;True;1E;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.596156+02:00;742
1E;1E-2;1EX;NOM;Grange Blanche - Colombier Saugnieu Les Salines;Retour;10524;34351;Grange Blanche;Colombier-Saugn. Salines;BUS;20180101;;REG;Régulière;True;1E;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.596893+02:00;743
31;31-2;31A;NUI;Gare de Vaise - Cite Edouard Herriot;Aller;10487;10249;Gare de Vaise-G.Collomb;Cité Edouard Herriot;BUS;20180101;;REG;Régulière;True;31;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.625340+02:00;480
50;50-1;50A;NOM;St Priest Hôtel de Ville - La Fouillouse/La Fouillouse Acacias;Aller;11337;20363;St Priest Hôtel de Ville;La Fouillouse;BUS;20180101;;REG;Régulière;True;50;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.648328+02:00;509
50;50-2;50A;NOM;La Fouillouse Acacias/La Fouillouse - St Priest Hôtel de Ville;Retour;20363;11337;La Fouillouse;St Priest Hôtel de Ville;BUS;20180101;;REG;Régulière;True;50;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.649021+02:00;510
54;54-1;54B;NOM;Gare de Venissieux - Z.A. Chapotin;Aller;20487;34649;Gare de Vénissieux;Z.A. Chapotin;BUS;20280823;;REG;Régulière;False;54;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.651159+02:00;513
21;21-8;21A;ZI;Gare de Vaise - St Germain Gare via Echangeur Sans Souci;Aller;10487;11313;Gare de Vaise-G.Collomb;St Germain Gare;BUS;20180101;;REG;Régulière;True;21;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.603173+02:00;455
54;54-2;54B;NOM;Z.A Chapotin - Gare de Venissieux;Retour;34649;20487;Z.A. Chapotin;Gare de Vénissieux;BUS;20280823;;REG;Régulière;False;54;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.651733+02:00;514
55;55-1;55B;NOM;Perrache - Campus Lyon Ouest;Aller;30977;33574;Perrache;Campus Lyon Ouest;BUS;20200903;;REG;Régulière;True;55;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.652309+02:00;515
55;55-2;55B;NOM;Campus Lyon Ouest - Perrache;Retour;33574;30977;Campus Lyon Ouest;Perrache;BUS;20200903;;REG;Régulière;True;55;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.653043+02:00;516
21;21-9;21A;ZI;St Germain Gare - Gare de Vaise via Echangeur Sans Souci;Retour;11313;10487;St Germain Gare;Gare de Vaise-G.Collomb;BUS;20180101;;REG;Régulière;True;21;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.607751+02:00;462
57;57-1;57A;NOM;Laurent Bonnevay - Vaulx Marcel Cachin/Décines Grand Large;Aller;10716;31610;Laurent Bonnevay;Décines Grand Large;BUS;20180101;;REG;Régulière;True;57;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.653644+02:00;517
57;57-2;57A;NOM;Décines Grand Large/Vaulx  Marcel Cachin - Laurent Bonnevay;Retour;31610;10716;Décines Grand Large;Laurent Bonnevay;BUS;20180101;;REG;Régulière;True;57;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.654218+02:00;518
60;60-13;60A;TVX;Debourg - Feyzin Chateau de l'Isle via Chambaud;Aller;20202;10435;Debourg;Feyzin Château de l'Isle;BUS;20180324;;REG;Régulière;True;60;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.654838+02:00;867
60;60-11;60A;TVX;Debourg - Feyzin Chateau de l'Isle via Port;Aller;20202;10435;Debourg;Feyzin Château de l'Isle;BUS;20180324;;REG;Régulière;True;60;18 septembre 2024;2024-09-18 13:33:38+02:00;2024-09-25 06:00:26.655428+02:00;866
